Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
NXZ,Nuveen Dividend Advantage Municipal Fund 2,15,441930000,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxz,,
VTG,Vantage Drilling Company,1.46,426150640,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vtg,,
TRX,Tanzanian Royalty Exploration Corporation,4.11,411090420,n/a,2005,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trx,,
FEN,First Trust Energy Income and Growth Fund,29.02,409472200,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen,,
RTK,"Rentech, Inc.",1.72,392875520,n/a,1991,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/rtk,,
LSG,Lake Shore Gold Corp,0.95,380161500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lsg,,
BLE,BlackRock Municipal Income Trust II,15.77,368655290,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/ble,,
FTF,Franklin Templeton Limited Duration Income Trust,13.61,364571070,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf,,
TAT,Transatlantic Petroleum Ltd,0.99,362868660,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tat,,
NMZ,Nuveen Municipal High Income Opportunity Fund,13,362336000,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/nmz,,
PAL,"North American Palladium, Ltd.",2.22,361529220,n/a,2000,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/pal,,
BQY,S&P Quality Rankings Glbl Equ Mngd Tr,11.99,356894340,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/bqy,,
PZG,Paramount Gold and Silver Corp.,2.37,349307190,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/pzg,,
WSO/B,"Watsco, Inc.",72.9,343286100,n/a,n/a,Consumer Durables,Industrial Machinery/Components,http://www.nasdaq.com/symbol/wso/b,,
NEA,Nuveen AMT-Free Municipal Income Fund,14.81,329389210,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nea,,
NZH,Nuveen California Dividend Advantage Municipal Fund 3,13.6,328290400,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzh,,
MDM,Mountain Province Diamonds Inc.,4.01,323390460,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mdm,,
LBY,"Libbey, Inc.",15.03,308415600,n/a,1993,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lby,,
GMO,"General Moly, Inc",3.38,308326980,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo,,
NAVB,"Navidea Biopharmaceuticals, Inc.",3.16,304946320,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/navb,,
NBH,Neuberger Berman Intermediate Municipal Fund Inc.,16.24,303298240,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbh,,
JRS,Nuveen Real Estate Fund,10.5,300457500,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/jrs,,
GBG,"Great Basin Gold, Ltd.",0.63,299710530,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gbg,,
AXU,Alexco Resource Corp,4.9,293696200,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu,,
GSS,"Golden Star Resources, Ltd",1.09,282159580,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss,,
UAMY,United States Antimony Corporation,4.52,274834080,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/uamy,,
PBTH,"PROLOR Biotech, Inc.",4.88,270439840,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pbth,,
LTS,Ladenburg Thalmann Financial Services Inc,1.47,270365340,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lts,,
EVM,Eaton Vance California Municipal Bond Fund,12.17,264660990,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm,,
GRZ,Gold Reserve Inc,4.3,256907800,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/grz,,
GPL,Great Panther Silver Limited,1.86,255798360,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gpl,,
AZC,Augusta Resource Corporation,1.77,253393200,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azc,,
KGN,Keegan Resources Inc,3.28,246997120,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/kgn,,
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.2,246640800,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/nro,,
XG,Extorre Gold Mines Ltd.,2.66,246228220,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xg,,
